#    L    TT             EE             BB             TE             PP             TP             EP          
   213   0.572926E+04   0.749622E+00   0.120756E-01   0.254277E+01   0.538434E-07   0.131028E-03  -0.219671E-06
   214   0.573361E+04   0.762479E+00   0.120857E-01   0.405190E+01   0.535858E-07   0.129982E-03  -0.205097E-06
   215   0.573736E+04   0.776686E+00   0.121007E-01   0.557608E+01   0.533302E-07   0.128944E-03  -0.190541E-06
   216   0.574048E+04   0.792288E+00   0.121202E-01   0.711473E+01   0.530766E-07   0.127914E-03  -0.176005E-06
   217   0.574298E+04   0.809312E+00   0.121441E-01   0.866724E+01   0.528249E-07   0.126893E-03  -0.161489E-06
   218   0.574487E+04   0.827789E+00   0.121721E-01   0.102331E+02   0.525753E-07   0.125880E-03  -0.146995E-06
   219   0.574613E+04   0.847762E+00   0.122039E-01   0.118117E+02   0.523275E-07   0.124874E-03  -0.132523E-06
   220   0.574675E+04   0.869262E+00   0.122393E-01   0.134024E+02   0.520817E-07   0.123877E-03  -0.118073E-06
   221   0.574675E+04   0.892316E+00   0.122779E-01   0.150046E+02   0.518378E-07   0.122887E-03  -0.103648E-06
   222   0.574610E+04   0.916970E+00   0.123196E-01   0.166179E+02   0.515957E-07   0.121905E-03  -0.892467E-07
   223   0.574483E+04   0.943244E+00   0.123640E-01   0.182413E+02   0.513555E-07   0.120930E-03  -0.748710E-07
   224   0.574292E+04   0.971176E+00   0.124110E-01   0.198744E+02   0.511171E-07   0.119963E-03  -0.605216E-07
   225   0.574039E+04   0.100079E+01   0.124603E-01   0.215165E+02   0.508806E-07   0.119004E-03  -0.461992E-07
   226   0.573722E+04   0.103212E+01   0.125115E-01   0.231669E+02   0.506459E-07   0.118052E-03  -0.319047E-07
   227   0.573343E+04   0.106521E+01   0.125645E-01   0.248250E+02   0.504129E-07   0.117107E-03  -0.176390E-07
   228   0.572901E+04   0.110007E+01   0.126189E-01   0.264901E+02   0.501817E-07   0.116169E-03  -0.340276E-08
