#    L    TT             EE             BB             TE          
   370   0.207361E+04   0.204376E+02   0.465258E-01   0.570301E+02
   371   0.205639E+04   0.205285E+02   0.466499E-01   0.551949E+02
   372   0.203961E+04   0.206160E+02   0.467753E-01   0.533470E+02
   373   0.202327E+04   0.207000E+02   0.469019E-01   0.514870E+02
   374   0.200736E+04   0.207806E+02   0.470298E-01   0.496159E+02
   375   0.199189E+04   0.208577E+02   0.471587E-01   0.477342E+02
   376   0.197687E+04   0.209312E+02   0.472887E-01   0.458428E+02
   377   0.196228E+04   0.210011E+02   0.474197E-01   0.439424E+02
   378   0.194814E+04   0.210673E+02   0.475518E-01   0.420337E+02
   379   0.193443E+04   0.211298E+02   0.476847E-01   0.401175E+02
   380   0.192118E+04   0.211886E+02   0.478185E-01   0.381946E+02
   381   0.190837E+04   0.212436E+02   0.479531E-01   0.362656E+02
   382   0.189600E+04   0.212946E+02   0.480885E-01   0.343313E+02
   383   0.188408E+04   0.213419E+02   0.482245E-01   0.323926E+02
   384   0.187260E+04   0.213854E+02   0.483613E-01   0.304504E+02
   385   0.186156E+04   0.214249E+02   0.484986E-01   0.285053E+02
   386   0.185097E+04   0.214607E+02   0.486365E-01   0.265583E+02
   387   0.184082E+04   0.214926E+02   0.487748E-01   0.246102E+02
   388   0.183111E+04   0.215206E+02   0.489136E-01   0.226619E+02
   389   0.182183E+04   0.215448E+02   0.490528E-01   0.207141E+02
   390   0.181300E+04   0.215651E+02   0.491923E-01   0.187677E+02
   391   0.180460E+04   0.215816E+02   0.493321E-01   0.168234E+02
   392   0.179663E+04   0.215941E+02   0.494721E-01   0.148821E+02
